Subj,List,BLOCK,TRIAL,SET,LC,CatNumber,Category,PicID,TARGET,Response,Accuracy,RT
28,2,2,19,3,UnRel,10,clothes,coat.png,Dilpe,Dilpe,1,736
28,2,2,20,2,UnRel,13,insects,fly.png,Gulch,Gulch,1,618
28,2,2,21,3,CRel,11,tableware,cup.png,Knirs,Glemp,0,765
28,2,2,22,3,UnRel,5,fruit,apple.png,Glürre,Glürre,1,1545
28,2,2,23,1,CRel,1,animals,dog.png,Jasel,Jase...Jasel,0,568
28,2,2,24,2,CRel,8,human head,nose.png,Wirs,Wirs,1,1231
29,5,1,1,3,CRel,10,clothes,dress.png,Lanst,Lanst,1,1277
29,5,1,2,2,CRel,3,vegetables,onion.png,Troschel,Troschel,1,765
29,5,1,3,1,UnRel,4,musical instruments,drum.png,Fente,Fente,1,887
29,5,1,4,1,CRel,7,transportation,train.png,Melg,Melg,1,794
29,5,1,5,1,UnRel,14,electronic devices,printer.png,Jersch,Jersch,1,916
29,5,1,6,3,UnRel,2,tools,ax.png,Flipse,ähm...Flipse,0,975
29,5,1,7,3,CRel,10,clothes,coat.png,Dilpe,Dilpe,1,882
29,5,1,8,2,UnRel,13,insects,beetle.png,Lember,Lember,1,769
29,5,1,9,3,UnRel,8,human head,ear.png,Glutz,Glutz,1,895
29,5,1,10,1,CRel,7,transportation,bus.png,Jorn,Jer...Jorn,0,962
29,5,1,11,2,CRel,3,vegetables,tomato.png,Schinz,Schinz,1,815
29,5,1,12,3,CRel,10,clothes,trousers.png,Glienst,Glienst,1,787
29,5,2,13,2,UnRel,12,shapes,trapeze.png,Quippe,Quippe,1,786
29,5,2,14,2,UnRel,9,drinks,milk.png,Bift,Bift,1,870
29,5,2,15,1,CRel,7,transportation,ship.png,Pramme,Pramme,1,845
29,5,2,16,2,CRel,3,vegetables,potato.png,Rullner,Rullner,1,773
29,5,2,17,3,CRel,10,clothes,skirt.png,Huspel,Huspel,1,849
29,5,2,18,1,UnRel,1,animals,horse.png,Rafke,Rafke,1,1017
29,5,2,19,3,UnRel,5,fruit,banana.png,Limme,Limme,1,824
29,5,2,20,1,CRel,7,transportation,car.png,Wefer,Wefer,1,1147
29,5,2,21,1,UnRel,15,plants,moss.png,Zwilk,Zwilk,1,895
29,5,2,22,2,CRel,3,vegetables,cucumber.png,Lepf,Lepf,1,903
29,5,2,23,3,UnRel,11,tableware,glass.png,Randel,Randel,1,991
29,5,2,24,2,UnRel,6,furniture,cupboard.png,Gremt,Gremt,1,815
30,2,1,1,3,CRel,11,tableware,bowl.png,Glemp,NA,0,-1
30,2,1,2,1,CRel,1,animals,cat.png,Marp,Marp,1,694
30,2,1,3,1,UnRel,15,plants,cactus.png,Derg,Derg,1,1683
30,2,1,4,2,CRel,8,human head,eye.png,Limfer,Limfer,1,1105
30,2,1,5,2,UnRel,2,tools,hammer.png,Jund,NA,0,-1
30,2,1,6,2,UnRel,3,vegetables,tomato.png,Schinz,Schnitz...Schinz,0,1805
30,2,1,7,3,CRel,11,tableware,glass.png,Randel,Randel,1,1943
30,2,1,8,1,UnRel,7,transportation,bus.png,Jorn,Jorn,1,1021
30,2,1,9,1,CRel,1,animals,horse.png,Rafke,Rafke,1,1746
30,2,1,10,2,CRel,8,human head,ear.png,Glutz,Glutz,1,2203
30,2,1,11,1,UnRel,12,shapes,star.png,Prals,Prals,1,1465
30,2,1,12,3,CRel,11,tableware,plate.png,Schrenge,Schrenge,1,1207
30,2,2,13,3,UnRel,6,furniture,chair.png,Berne,Berne,1,1218
30,2,2,14,2,UnRel,4,musical instruments,guitar.png,Zort,Z...,0,3487
30,2,2,15,3,UnRel,14,electronic devices,computer.png,Merst,Merst,1,1448
30,2,2,16,1,UnRel,9,drinks,coffee.png,Nimse,Nimse,1,1155
30,2,2,17,2,CRel,8,human head,mouth.png,Zürme,Zürme,1,1272
30,2,2,18,1,CRel,1,animals,cow.png,Ploft,P...Plo...Ploft,0,1964
30,2,2,19,3,UnRel,10,clothes,coat.png,Dilpe,Dilpe,1,1516
30,2,2,20,2,UnRel,13,insects,fly.png,Gulch,Gulch,1,1373
30,2,2,21,3,CRel,11,tableware,cup.png,Knirs,Knirs,1,1763
30,2,2,22,3,UnRel,5,fruit,apple.png,Glürre,NA,0,-1
30,2,2,23,1,CRel,1,animals,dog.png,Jasel,J...Jarn,0,2065
30,2,2,24,2,CRel,8,human head,nose.png,Wirs,Wirs,1,919
